一,one
二,two
三,three
四,four
五,five
六,six
七,seven
八,eight
九,nine
十,ten
百,hundred
千,thousand
万,ten thousand
上,above/on
下,below/under
中,middle/inside
左,left
右,right
前,front/before
後,behind
外,outside
内,inside
大,big
小,small
長,long
短,short
高,tall/high
低,low
新,new
古,old
多,many
少,few/little
早,early/fast
遅,late/slow
良,good
悪,bad
強,strong
弱,weak
熱,hot/fever
冷,cold
暑,hot (weather)
寒,cold (weather)
温,warm
美,beautiful
醜,ugly
白,white
黒,black
赤,red
青,blue
黄,yellow
緑,green
男,male/man
女,female/woman
人,person/people
子,child
父,father
母,mother
兄,older brother
姉,older sister
弟,younger brother
妹,younger sister
夫,husband
妻,wife
親,parent
友,friend
先,before/previous
生,life/birth/student
死,death
名,name
性,gender/nature
学,study
校,school
教,teach/religion
師,teacher
力,power/strength
手,hand
足,foot/leg
目,eye
耳,ear
口,mouth
歯,tooth
心,heart/mind
体,body
頭,head
顔,face
髪,hair
血,blood
肉,meat
骨,bone
脳,brain
病,illness/disease
痛,painful/pain
薬,medicine
医,medical doctor
治,cure/heal
健,healthy
食,eat/food
飲,drink
水,water
火,fire
木,tree/wood
金,gold/metal
土,earth/soil
石,stone
山,mountain
川,river
海,sea/ocean
池,pond
雨,rain
雪,snow
風,wind
雲,cloud
空,sky/empty
光,light
闇,darkness
音,sound
香,fragrance
臭,smell
味,taste
天,heaven/sky
地,earth/ground
季,season
月,moon/month
日,day/sun
週,week
時,time/hour
分,minute/part
秒,second
朝,morning
昼,noon
夜,night
晩,evening
春,spring
夏,summer
秋,autumn
冬,winter
明,bright
暗,dark
家,house/home
戸,door
窓,window
床,floor
壁,wall
屋,roof/house
室,room
店,shop/store
市,city/market
町,town
村,village
国,country
州,state
県,prefecture
京,capital
都,metropolis
島,island
橋,bridge
道,road/way
路,path/road
街,street
駅,station
港,harbor/port
船,ship
車,car
馬,horse
牛,cow
羊,sheep
犬,dog
猫,cat
鳥,bird
魚,fish
虫,insect
蛇,snake
龍,dragon
布,cloth
糸,thread
綿,cotton
紙,paper
書,write/book
字,character
詩,poem
歌,song
楽,music
絵,picture
色,color
草,grass
花,flower
実,fruit
種,seed
根,root
枝,branch
葉,leaf
幹,trunk
林,forest
森,woods
園,garden
農,farm
麦,wheat
米,rice
豆,bean
野,field
畑,field
作,make/create
工,craft/work
業,industry/business
商,commerce
売,sell
買,buy
銭,money/coin
財,wealth
富,wealth/fortune
貧,poor
使,use/servant
仕,serve
事,thing/matter
職,occupation
身,body/self
分,part
本,book/origin
末,end
才,talent
知,know/wisdom
賢,wise
愚,foolish
聡,smart/wise
正,correct/right
曲,bend/song
犯,crime
悪,bad/evil
善,good
偽,false
真,true/genuine
誠,sincerity
嘘,lie/false
欺,deceive
盗,steal
窃,steal
奪,rob
殺,kill
傷,wound
害,damage
損,loss
得,gain/profit
失,lose/failure
成,become/complete
破,break/destroy
裂,tear/split
割,divide
折,break
伸,extend
縮,shrink
絞,squeeze
結,tie/bind
解,untie/solve
編,weave
織,weave
刺,pierce/stab
切,cut
裁,judge/cut
削,scrape
磨,polish
洗,wash
拭,wipe
掃,sweep
掛,hang
持,hold
抱,hug
押,push
引,pull
運,carry/luck
転,roll/turn
回,turn/times
移,move/shift
去,go/leave
来,come
往,go
返,return
渡,cross/go over
越,exceed
追,chase
逃,escape
隠,hide
現,appear
表,surface/show
裏,back/inside
登,climb
降,go down/rain
昇,rise/ascend
