わたし,I
わたしたち,we
あなた,you
ひと,person
〜かた,〜 way/method
〜にん,〜 person(s)
みなさん,everyone
さん,Mr./Ms./Mrs.
せんせい,teacher
きょうし,educator/teacher
がくせい,student
かいしゃいん,company employee
しゃいん,employee
ぎんこういん,bank clerk
いしゃ,doctor
けんきゅうしゃ,researcher
エンジニア,engineer
だいがく,university
びょういん,hospital
でんき,electricity
さい,years old
アメリカ,America
イギリス,UK
インド,India
インドネシア,Indonesia
タイ,Thailand
かんこく,Korea
ちゅうごく,China
ドイツ,Germany
フランス,France
ブラジル,Brazil
にほん,Japan
ほん,book
じしょ,dictionary
ざっし,magazine
しんぶん,newspaper
ノート,notebook
てちょう,diary
めいし,business card
カード,card
えんぴつ,pencil
ボールペン,ballpoint pen
シャープペンシル,mechanical pencil
かぎ,key
とけい,watch/clock
かさ,umbrella
かばん,bag
テレビ,TV
ラジオ,radio
カメラ,camera
コンピューター,computer
じどうしゃ,car
つくえ,desk
いす,chair
コーヒー,coffee
えいご,English
にほんご,Japanese
きょうしつ,classroom
しょくどう,dining hall
じむしょ,office
かいぎしつ,meeting room
うけつけ,reception
へや,room
トイレ,toilet
おてあらい,restroom
かいだん,stairs
エレベーター,elevator
エスカレーター,escalator
くに,country
かいしゃ,company
いえ,house
でんわ,phone
くつ,shoes
ネクタイ,necktie
ワイン,wine
たばこ,cigarette
うりば,sales floor
ちか,basement/subway
イタリア,Italy
スイス,Switzerland
デパート,department store
ぎんこう,bank
ゆうびんきょく,post office
としょかん,library
びじゅつかん,art museum
いま,now
ごぜん,AM
ごご,PM
あさ,morning
ひる,noon
よる,night
ばん,evening
おととい,the day before yesterday
きのう,yesterday
きょう,today
あした,tomorrow
あさって,the day after tomorrow
けさ,this morning
こんばん,tonight
さくばん,last night
やすみ,rest/day off
ひるやすみ,lunch break
まいあさ,every morning
まいばん,every night
まいにち,every day
げつようび,Monday
かようび,Tuesday
すいようび,Wednesday
もくようび,Thursday
きんようび,Friday
どようび,Saturday
にちようび,Sunday
ばんごう,number
じてんしゃ,bicycle
がっこう,school
えき,station
ひこうき,airplane
ふね,ship
でんしゃ,train
ちかてつ,subway
しんかんせん,shinkansen
バス,bus
ともだち,friend
せんしゅう,last week
こんしゅう,this week
らいしゅう,next week
せんげつ,last month
こんげつ,this month
らいげつ,next month
きょねん,last year
ことし,this year
らいねん,next year
たんじょうび,birthday
ふつうれっしゃ,local train
きゅうこう,express train
とっきゅう,limited express
つぎ,next
ごはん,meal/rice
あさごはん,breakfast
ひるごはん,lunch
ばんごはん,dinner
たまご,egg
にく,meat
さかな,fish
やさい,vegetables
くだもの,fruit
みず,water
おちゃ,tea
こうちゃ,black tea
ぎゅうにゅう,milk
ジュース,juice
ビール,beer
おさけ,alcohol/sake
えいが,movie
てがみ,letter
しゃしん,photo
みせ,shop/store
レストラン,restaurant
にわ,garden
しゅくだい,homework
おはなみ,flower viewing
けしゴム,eraser
て,hand
はし,chopsticks
スプーン,spoon
ナイフ,knife
フォーク,fork
はさみ,scissors
かみ,paper
はな,flower
シャツ,shirt
プレゼント,present
にもつ,luggage/parcel
おかね,money
きっぷ,ticket
クリスマス,Christmas
ちち,father
はは,mother
おとうさん,dad
おかあさん,mom
りょこう,trip
おみやげ,souvenir
くるま,car
さくら,cherry blossom
やま,mountain
まち,town
たべもの,food
ところ,place
りょう,dormitory
べんきょう,study
せいかつ,life
しごと,work
りょうり,cooking
のみもの,drink
スポーツ,sports
やきゅう,baseball
おんがく,music
うた,song
え,picture
じ,character/writing
ひらがな,hiragana
かたかな,katakana
ローマじ,romaji
こまかいおかね,small change
きって,stamp
はがき,postcard
ふうとう,envelope
そくたつ,express mail
かきとめ,registered mail
こうくうびん,airmail
ふなびん,ship mail
りょうしん,parents
きょうだい,siblings
あに,older brother
おにいさん,older brother (polite)
あね,older sister
おねえさん,older sister (polite)
おとうと,younger brother
おとうとさん,younger brother (polite)
いもうと,younger sister
いもうと,younger sister
いもうとさん,younger sister (polite)
がいこく,foreign country
しゅうかん,week(s)
オーストラリア,Australia
きせつ,season
はる,spring
なつ,summer
あき,autumn/fall
ふゆ,winter
てんき,weather
あめ,rain
ゆき,snow
くもり,cloudy
くうこう,airport
うみ,sea/ocean
せかい,world
まつり,festival
しけん,exam
すきやき,sukiyaki
さしみ,sashimi
すし,sushi
てんぷら,tempura
いけばな,flower arrangement
もみじ,autumn leaves
しゅうまつ,weekend
しやくしょ,city hall
プール,pool
かわ,river
けいざい,economy
びじゅつ,art
つり,fishing
かいぎ,meeting
とうろく,registration
ちゅうもん,order
ていしょく,set meal
ぎゅうどん,gyudon (beef bowl)
おなか,stomach
のど,throat
くすり,medicine
ふろ,bath
うわぎ,jacket
したぎ,underwear
のど,throat
ピアノ,piano
こくさい,international
しゅみ,hobby
にっき,diary
いのり,prayer
しゃちょう,company president
ぶちょう,department chief
かちょう,section chief
どうぶつ,animal
うま,horse
へび,snake
ちょうし,condition
ゴルフ,golf
すもう,sumo
ビザ,visa
きもの,kimono
こと,thing
ぼく,I (male)
きみ,you
くん,Mr. (informal)
こっち,this way (informal)
そっち,that way (informal)
あっち,that way over there (informal)
はらいます,pay
もっていきます,take (something)
ぬぎます,take off
なくします,lose
だします,hand in
